#,影片名稱,秒數
6,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Wx9vPv-T51I"", ""[Science] How tsunamis work - Alex Gendler"")",03:37
5,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?foVMwJtlR5s"", ""What is déjà vu? What is déjà vu? - Michael Molina"")",03:55
4,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?keMF8YzQoRM"", ""Why do we cry? The three types of tears - Alex Gendler"")",03:59
3,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?IkmjCmvfeFI"", ""The loathsome, lethal mosquito - Rose Eveleth"")",02:40
2,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?7yDmGnA8Hw0"", ""Can you solve the bridge riddle? - Alex Gendler"")",03:50
1,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?zAFcV7zuUDA"", ""[Life] How to tie your shoes | Terry Moore"")",03:00
7,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?cSKGa_7XJkg"", ""How false news can spread - Noah Tavlin"")",03:42
8,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?sNfU1Y175dQ"", ""[TV Show] Cuts of steak, explained"")",04:20
9,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?rjBlcKG6_sQ"", ""[Economy] How a robbery led to a multi-million dollar business"")",03:26
10,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?R-DyQGDzP_A"", ""[Talk Show] Can you feel it"")",08:52
11,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?53YvP6gdD7U"", ""[Knowledge] Deep Learning - MIT"")",46:25
12,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?b75FJceCh9U"", ""[Comedy] Dignity in a hospital bathroom"")",06:01
13,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?jNVZjNB8ptk"", ""[Movie] Dark Fate"")",02:44
14,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?TcMBFSGVi1c"", ""[Movie] Marvel Studios' Avengers"")",02:27
20,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?aSRQRiw4xwc"", ""[Movie] American Horror Story Season"")",01:31
21,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?pc--sMa1yMk"", ""[Ellen Show] Travel Ban"")",02:44
26,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?rlR4PJn8b8I"", ""[TV Series] Game of Thrones: Season 8"")",02:03
27,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?SamOY-LyWzI"", ""[Movie] Men in Black 3"")",04:58
28,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?-Bv1ma8r6Qo"", ""[TV Series] Twilight Breaking Dawn"")",02:10
29,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?dvT333RoCrw"", ""[TV Series] Breaking Dawn"")",02:41
30,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?APduGe1eLVI"", ""[TV Series] His dark materials: Season 1"")",02:33
31,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?2bVik34nWws"", ""[TV Series] Black Mirror: Season 5"")",01:48
32,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?-qIlCo9yqpY"", ""[TV Series] Black Mirror"")",01:09
33,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?5W8j6wOvxuo"", ""[TV Series] Game of Thrones"")",10:01
39,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?ZnKvQbpDYXU"", ""[Movie] Scoob"")",02:26
65,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?3WXMv2IuMo4"", ""[Music] How to order McDonald's like a boss"")",01:45
66,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?nBtyWrwahWo"", ""[Travel] Shopping for clothes"")",03:09
75,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?jp0PQyq63x0"", ""[Travel] On the airplane"")",04:13
79,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?teg4pYuH5PY"", ""[Travel] How to get an airline upgrade"")",02:10
80,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?fO7WJMUPdBE"", ""[Talk Show] Shin Lim makes pieces of a card disappear and reappear"")",03:14
81,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?A1R12vuG0BQ"", ""[Education] Understand FAST English Conversations"")",33:42
82,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?D786BdFfOI0"", ""[Education] How to talk about movies and TV shows in English"")",19:29
83,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?-U4Hprs8QPs"", ""[Talk] About depression"")",36:36
86,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Gq3_G3_wylo"", ""[Science] Artificial Intelligence"")",02:00
87,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?gLoI9hAX9dw"", ""[Science] It’s Getting Harder to Spot a Deep Fake Video"")",02:59
